Osasuna_AllClub_Acceleration_1;100;1.11131578947368;1.31552631578947;1.25026315789474;11.24
Osasuna_AllClub_Acceleration_2;100;1.13210526315789;1.23;1.30763157894737;10.57
Osasuna_AllClub_Acceleration_4;100;1.12078947368421;1.24;1.285;10.63
Osasuna_AllClub_Acceleration_6;100;1.12210526315789;1.23631578947368;1.31657894736842;10.49
Osasuna_AllClub_Acceleration_8;100;1.13210526315789;1.23921052631579;1.31105263157895;10.28
Osasuna_AllClub_Acceleration_10;100;1.16473684210526;1.29342105263158;1.27105263157895;11.05
Osasuna_AllClub_Acceleration_12;100;1.15710526315789;1.24078947368421;1.31578947368421;10.38
Osasuna_AllClub_Acceleration_14;100;1.14578947368421;1.25263157894737;1.32605263157895;10.05
Osasuna_AllClub_Acceleration_16;100;1.14921052631579;1.24315789473684;1.29078947368421;10.65
Osasuna_AllClub_Acceleration_18;100;1.13026315789474;1.27736842105263;1.28710526315789;10.93
Osasuna_AllClub_Acceleration_20;100;1.12394736842105;1.26026315789474;1.28447368421053;10.77

Osasuna_AllClub_Adaptability_1;100;1.15394736842105;1.25368421052632;1.31421052631579;10.58
Osasuna_AllClub_Adaptability_20;100;1.13842105263158;1.25657894736842;1.31631578947368;10.26

Osasuna_AllClub_Aggression_1;100;1.10342105263158;1.41710526315789;1.15763157894737;12.97
Osasuna_AllClub_Aggression_2;100;1.13236842105263;1.16263157894737;1.35921052631579;9.61
Osasuna_AllClub_Aggression_4;100;1.16026315789474;1.19210526315789;1.35578947368421;9.73
Osasuna_AllClub_Aggression_6;100;1.15526315789474;1.21421052631579;1.33578947368421;10.09
Osasuna_AllClub_Aggression_8;100;1.14210526315789;1.21815789473684;1.31789473684211;10.47
Osasuna_AllClub_Aggression_10;100;1.14157894736842;1.16052631578947;1.36526315789474;9.8
Osasuna_AllClub_Aggression_12;100;1.15;1.21368421052632;1.33868421052632;9.84
Osasuna_AllClub_Aggression_14;100;1.14;1.22368421052632;1.32473684210526;10.15
Osasuna_AllClub_Aggression_16;100;1.17263157894737;1.18210526315789;1.37026315789474;9.34
Osasuna_AllClub_Aggression_18;100;1.15473684210526;1.19763157894737;1.35894736842105;9.72
Osasuna_AllClub_Aggression_20;100;1.15736842105263;1.21552631578947;1.31894736842105;10.37

Osasuna_AllClub_Agility_1;100;1.08921052631579;1.25657894736842;1.26210526315789;11.44
Osasuna_AllClub_Agility_2;100;1.16815789473684;1.17263157894737;1.38342105263158;9.3
Osasuna_AllClub_Agility_4;100;1.18157894736842;1.17421052631579;1.38342105263158;9.39
Osasuna_AllClub_Agility_6;100;1.16736842105263;1.18973684210526;1.38552631578947;9.36
Osasuna_AllClub_Agility_8;100;1.16210526315789;1.16868421052632;1.37105263157895;9.47
Osasuna_AllClub_Agility_10;100;1.16894736842105;1.19026315789474;1.365;9.61
Osasuna_AllClub_Agility_12;100;1.14526315789474;1.17921052631579;1.36657894736842;9.72
Osasuna_AllClub_Agility_14;100;1.18184210526316;1.19289473684211;1.38052631578947;9.53
Osasuna_AllClub_Agility_16;100;1.16894736842105;1.21815789473684;1.37052631578947;9.62
Osasuna_AllClub_Agility_18;100;1.18263157894737;1.17184210526316;1.38526315789474;9.01
Osasuna_AllClub_Agility_20;100;1.16289473684211;1.20315789473684;1.345;9.92

Osasuna_AllClub_Ambition_1;100;1.18921052631579;1.17078947368421;1.40052631578947;9.21
Osasuna_AllClub_Ambition_20;100;1.17631578947368;1.18842105263158;1.38789473684211;9.16

Osasuna_AllClub_Anticipation_1;100;1.13894736842105;1.21947368421053;1.30447368421053;10.59
Osasuna_AllClub_Anticipation_15;100;1.16631578947368;1.19078947368421;1.38105263157895;9.24

Osasuna_AllClub_Balance_1;100;1.13868421052632;1.19447368421053;1.335;10.07
Osasuna_AllClub_Balance_2;100;1.19447368421053;1.17184210526316;1.38842105263158;9.15
Osasuna_AllClub_Balance_4;100;1.18315789473684;1.20315789473684;1.36447368421053;9.62
Osasuna_AllClub_Balance_6;100;1.20631578947368;1.17184210526316;1.39184210526316;9.23
Osasuna_AllClub_Balance_8;100;1.18631578947368;1.18947368421053;1.38131578947368;9.14
Osasuna_AllClub_Balance_10;100;1.19157894736842;1.20447368421053;1.37789473684211;9.48
Osasuna_AllClub_Balance_12;100;1.16973684210526;1.16342105263158;1.36894736842105;9.46
Osasuna_AllClub_Balance_14;100;1.17526315789474;1.18921052631579;1.37342105263158;9.33
Osasuna_AllClub_Balance_16;100;1.18473684210526;1.17394736842105;1.39605263157895;9.03
Osasuna_AllClub_Balance_18;100;1.18263157894737;1.17105263157895;1.36526315789474;9.44
Osasuna_AllClub_Balance_20;100;1.16605263157895;1.16947368421053;1.36526315789474;9.83

Osasuna_AllClub_Bravery_1;100;1.18131578947368;1.18447368421053;1.38;9.39
Osasuna_AllClub_Bravery_2;100;1.15578947368421;1.15526315789474;1.36631578947368;9.79
Osasuna_AllClub_Bravery_4;100;1.16184210526316;1.16289473684211;1.37394736842105;9.46
Osasuna_AllClub_Bravery_6;100;1.17763157894737;1.16368421052632;1.39578947368421;9.09
Osasuna_AllClub_Bravery_8;100;1.185;1.15263157894737;1.42736842105263;8.69
Osasuna_AllClub_Bravery_10;100;1.16947368421053;1.18421052631579;1.36394736842105;9.62
Osasuna_AllClub_Bravery_12;100;1.18052631578947;1.16552631578947;1.38605263157895;9.27
Osasuna_AllClub_Bravery_14;100;1.16736842105263;1.16842105263158;1.37368421052632;9.56
Osasuna_AllClub_Bravery_16;100;1.17552631578947;1.16210526315789;1.38263157894737;9.53
