GK;Aggression;1;1000;1.20744117647059;0.888352941176471;1.61658823529412;5.131
GK;Aggression;20;1000;1.20908823529412;0.886088235294118;1.62417647058824;5.021
GK;Agility;1;1000;1.22026470588235;0.908441176470588;1.61;5.129
GK;Agility;20;1000;1.22788235294118;0.847470588235294;1.66602941176471;4.373
GK;Handling;0;1000;1.22164705882353;0.995852941176471;1.53247058823529;6.369
GK;Handling;1;1000;1.21673529411765;0.996117647058824;1.52708823529412;6.62
GK;Handling;11;1000;1.21129411764706;0.901;1.60917647058824;5.229
GK;Handling;19;1000;1.21376470588235;0.831441176470588;1.67414705882353;4.223
GK;Handling;22;1000;1.21958823529412;0.808;1.70435294117647;3.915
GK;Handling;60;1000;1.22258823529412;0.676382352941176;1.82338235294118;2.628
GK;Reflexes;0;1000;1.20397058823529;0.928352941176471;1.57894117647059;5.596
GK;Reflexes;1;1000;1.21485294117647;0.920823529411765;1.58947058823529;5.446
GK;Reflexes;3;1000;1.20114705882353;0.912735294117647;1.58723529411765;5.565
GK;Reflexes;5;1000;1.21202941176471;0.908029411764706;1.60397058823529;5.233
GK;Reflexes;7;1000;1.21070588235294;0.888676470588235;1.61488235294118;5.058
GK;Reflexes;9;1000;1.2175;0.882941176470588;1.634;4.88
GK;Reflexes;11;1000;1.21297058823529;0.882764705882353;1.62288235294118;4.979
GK;Reflexes;12;1000;1.21605882352941;0.886323529411765;1.62405882352941;4.928
GK;Reflexes;13;1000;1.21029411764706;0.885294117647059;1.62523529411765;4.975
GK;Reflexes;15;1000;1.21694117647059;0.87385294117647;1.63885294117647;4.812
GK;Reflexes;19;1000;1.19997058823529;0.867441176470588;1.62738235294118;4.965
GK;Reflexes;25;1000;1.20991176470588;0.863205882352941;1.63944117647059;4.71
GK;Reflexes;60;1000;1.20797058823529;0.860323529411765;1.64470588235294;4.594
DC;Aggression;1;1000;1.22620588235294;0.933411764705882;1.59976470588235;5.433
DC;Aggression;20;1000;1.23976470588235;0.903147058823529;1.62952941176471;4.83
DC;Agility;1;1000;1.23879411764706;0.918235294117647;1.61588235294118;5.135
DC;Agility;20;1000;1.24576470588235;0.920529411764706;1.61967647058824;5.064
DC;Jumping;1;1000;1.22738235294118;0.939941176470588;1.58805882352941;5.513
DC;Jumping;20;1000;1.21888235294118;0.894941176470588;1.62055882352941;4.995
DC;Marking;0;1000;1.18932352941176;1.02520588235294;1.48088235294118;7.308
DC;Marking;1;1000;1.20511764705882;1.02988235294118;1.49191176470588;7.175
DC;Marking;3;1000;1.20905882352941;0.996117647058824;1.52258823529412;6.565
DC;Marking;5;1000;1.201;0.959764705882353;1.54711764705882;6.17
DC;Marking;7;1000;1.22102941176471;0.939088235294118;1.58673529411765;5.51
DC;Marking;9;1000;1.22273529411765;0.910117647058823;1.6135;5.24
DC;Marking;11;1000;1.22529411764706;0.901264705882353;1.62102941176471;5.074
DC;Marking;15;1000;1.22947058823529;0.879558823529412;1.64361764705882;4.697
DC;Marking;19;1000;1.23814705882353;0.8555;1.67882352941176;4.375
DC;Marking;30;1000;1.25120588235294;0.833382352941176;1.71017647058824;3.932
DC;Marking;60;1000;1.26144117647059;0.794676470588235;1.74661764705882;3.516
DC;Pace;1;1000;1.24341176470588;0.926558823529412;1.61347058823529;5.172
DC;Pace;20;1000;1.23267647058824;0.890676470588235;1.63991176470588;4.805
DC;Passing;0;1000;1.18482352941176;0.910529411764706;1.57826470588235;5.725
DC;Passing;1;1000;1.18920588235294;0.917088235294118;1.58176470588235;5.652
DC;Passing;15;1000;1.25323529411765;0.919764705882353;1.63123529411765;4.983
DC;Passing;19;1000;1.24820588235294;0.905323529411765;1.64085294117647;4.725
DC;Passing;30;1000;1.278;0.902852941176471;1.66955882352941;4.382
DC;Passing;60;1000;1.33585294117647;0.901470588235294;1.71338235294118;3.892
DC;Positioning;0;1000;1.187;1.02317647058824;1.48282352941176;7.308
DC;Positioning;1;1000;1.19211764705882;1.02770588235294;1.48144117647059;7.337
DC;Positioning;15;1000;1.23432352941176;0.898794117647059;1.63132352941176;4.863
DC;Positioning;19;1000;1.25211764705882;0.860411764705882;1.67694117647059;4.256
DC;Positioning;30;1000;1.27332352941176;0.795058823529412;1.75714705882353;3.313
DC;Positioning;60;1000;1.32826470588235;0.7005;1.89061764705882;2.077
DC;Teamwork;1;1000;1.16788235294118;0.943264705882353;1.53405882352941;6.386
DC;Teamwork;20;1000;1.23447058823529;0.911176470588235;1.62079411764706;5.039
DC;WorkRate;1;1000;1.22114705882353;0.933441176470588;1.58811764705882;5.526
DC;WorkRate;20;1000;1.23464705882353;0.917117647058823;1.61261764705882;5.125
DL;Aggression;1;1000;1.19229411764706;0.954588235294118;1.54879411764706;6.116
DL;Aggression;20;1000;1.19382352941176;0.928029411764706;1.57497058823529;5.797
DL;Dribbling;0;1000;1.00114705882353;0.932470588235294;1.39620588235294;8.883
DL;Dribbling;1;1000;1.00879411764706;0.943205882352941;1.38344117647059;9.098
DL;Dribbling;5;1000;1.02635294117647;0.944323529411765;1.40747058823529;8.58
DL;Dribbling;10;1000;1.07141176470588;0.938852941176471;1.44782352941176;7.92
DL;Dribbling;15;1000;1.16167647058824;0.948176470588235;1.52908823529412;6.56
DL;Dribbling;19;1000;1.30991176470588;0.935176470588235;1.66364705882353;4.43
DL;Dribbling;20;1000;1.32517647058824;0.932764705882353;1.67673529411765;4.292
DL;Dribbling;25;1000;1.41217647058824;0.932411764705882;1.76041176470588;3.268
DL;Dribbling;30;1000;1.48873529411765;0.942323529411765;1.80591176470588;2.976
